"Sample_ID","biological_replicate","extraction_ID","extraction_replicate","run","collection_year","collection_month","collection_day","location1","longitude","latitude","sample_type","time_of_day","Anoplarchus","Clupea pallasii","Cymatogaster aggregata","Hypomesus pretiosus","Lumpenus sagitta","Oligocottus","Podothecus accipenserinus","Syngnathus leptorhynchus","Ammodytes personatus","Gasterosteus aculeatus","Microgadus proximus","Oncorhynchus nerka","Pholis laeta","Hexagrammos","Oncorhynchus keta","Salvelinus","Synchirus gilli","Artedius lateralis","Enophrys bison","Gadus macrocephalus","Lepidopsetta","Leptocottus armatus","Liparis greeni","Oncorhynchus kisutch","Citharichthys stigmaeus","Myoxocephalus","Hexagrammos decagrammus","Oncorhynchus gorbuscha","Oncorhynchus tshawytscha","Clinocottus acuticeps","Platichthys stellatus","Sebastes","Brachyistius frenatus","Hemilepidotus hemilepidotus","Leptoclinus maculatus","Phytichthys chirus","Bathymaster","Aptocyclus ventricosus","Eleginus gracilis","Gadus chalcogrammus","Hippoglossoides elassodon","Limanda aspera","Mallotus villosus","Hippoglossus stenolepis","Xiphister","NA","Artedius fenestralis","Trichodon trichodon","Ronquilus jordani","Apodichthys flavidus","Anarrhichthys ocellatus","Bathymaster caeruleofasciatus","Enophrys diceraus","Sebastolobus","Hemilepidotus jordani","Ophiodon elongatus","Aulorhynchus flavidus","Nautichthys oculofasciatus","Blepsias bilobus","Microstomus pacificus","Agonidae_1","Artedius harringtoni","Clinocottus globiceps","Scorpaenichthys marmoratus","Pleuronichthys coenosus","Liparis cyclopus","Clinocottus embryum","Stichaeus punctatus","Thaleichthys pacificus","Pleuronectidae_1","Rhinogobiops nicholsii","Citharichthys sordidus","Sardinops sagax","Anoplopoma fimbria","Oncorhynchus mykiss","Liparis mucosus","Atheresthes","Liparis florae","Agonopsis vulsa","Gymnocanthus galeatus","Zaprora silenus","Liparis pulchellus","Stenobrachius leucopsarus","Blepsias cirrhosus","Bothragonus swanii","Thunnus","Pleuronectes quadrituberculatus","Liparis fucensis"
"e00534-A","e00534","e00534",1,"A",2021,7,7,"55",-156.472,57.1141,"sample","8:56",0.0732357223305772,0.201247149960168,0,0,0.00565887426860424,0,0,0,0.0110979864296899,0.0101914677361756,0,0,0.0567260940032415,0,0,0,0,0,0.015026234101585,0.433123643655743,0,0.0664230969975002,0,0,0,0.0109331648490509,8.24107903194792e-05,0.0098892948383375,0,0.0388154822404747,0.0418372112188556,0,0,0,0,0,0,0,0,0.0257121665796775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00535-A","e00535","e00535",1,"A",2021,7,7,"55",-156.472,57.1141,"sample","8:56",0.0137278277518876,0.175354936599111,0,0,0.00783931216357791,0,0,0,0,0.0258299916910516,0,0,0.0663993352841299,0.026516383078646,0.0169430295148297,0.0182435605650085,0,0,0.00516599833821032,0.493659911130378,0,0.0615584697084643,0.00899533976373686,0,0,0.00913984321375673,0,0,0,0.0114518984140746,0.0227954192406344,0,0,0,0,0,0,0,0,0.0363787435425021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00536-A","e00536","e00536",1,"A",2021,7,7,"56",-156.449,57.1102,"sample","9:55",0.0635406618294678,0,0,0,0,0,0,0,0,0.046386780187057,0,0.000125823092731619,0.0440380824560668,0.04428972864153,0,0,0,0.0720966321352179,0,0.35582770624502,0,0.0510841756490375,0,0,0,0,0,0.0199219896825064,0,0,0,0,0,0,0,0.0400536845195655,0,0,0,0,0,0,0.0403053307050287,0,0.150023067567001,0,0,0.0514616449272323,0,0.0208446923625383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00537-A","e00537","e00537",1,"A",2021,7,7,"56",-156.449,57.1102,"sample","9:55",0,0.0132234667192974,0,0,0,0,0,0,0.000789460699659545,0,0,0.0334040558543445,0.0424828539004293,0.0244239403957172,0.229486357132284,0.0278778309567277,0,0,0.0530418907583757,0.287363694676074,0,0.0587161395371787,0,0,0,0.0832387625203533,0,0,0,0,0.0220062170030098,0,0,0,0,0,0,0,0,0.0769724182168056,0,0,0,0,0.0469729116297429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00538-A","e00538","e00538",1,"A",2021,7,7,"56",-156.449,57.1102,"sample","9:55",0.0658693014387242,0,0,0,0,0.030767897382562,0,0,0,0.000390015600624025,0,0,0,0.120254810192408,0,0,0,0,0,0.00715028601144046,0,0.239989599583983,0.000260010400416017,0.000130005200208008,0,0,0,0.0373548275264344,0,0.0222742243023054,0,0,0,0,0,8.66701334720056e-05,0,0,0,0.418790084936731,4.33350667360028e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566389322239556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00539-A","e00539","e00539",1,"A",2021,7,7,"57",-156.465,57.1203,"sample","10:57",0.242234139431347,0,0,0,0,0.0198320348072448,0,0,0,0.0596647441734966,0,0.0002360956524672,0.0343350534588013,0.0703565044352255,0,0,0,0,0,0.150865121926541,0,0.188201962966711,0.0356167155721947,0,0,0,0,0.129549057303788,0,0.021248608722048,0.0143681068501467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334918546999899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00540-A","e00540","e00540",1,"A",2021,7,7,"57",-156.465,57.1203,"sample","10:57",0.167954976946027,0,0,0,0.0393951722267426,0.0550131091221409,0,0,0,0.134458909682669,0,0,0.0732754723804358,0.035349425910858,0,0,0,0.0466277913389386,0,0.228279540728686,0,0.0549227013832384,0.053430973691348,0,0,0,0,0.051622818913299,0,0,9.04077389024501e-05,0,0,0,0,0,0,0,0,0,0,0.00980923967091583,0.0132447337492089,0,0,0,0,0,0,0.0365247265165898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00541-A","e00541","e00541",1,"A",2021,7,7,"57",-156.465,57.1203,"sample","10:57",0.0830741410488246,0,0,0,0,0,0,0,0,0.0335985533453888,0,0,0.159312839059674,3.61663652802893e-05,0,0.0181555153707052,0,0,0,0,0,0.214575045207957,0,0,0,0,0.0488607594936709,0.0930560578661845,0,0,0.0849909584086799,0,0,0,0,0,0,0,0,0.159023508137432,0,0,0,0,0.0291862567811935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076130198915009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00542-A","e00542","e00542",1,"A",2021,7,7,"58",-157.235,56.5777,"sample","20:57",0,0.0786163522012579,0,0.0317959468902865,0,0,0,0,0,0,0,0,0,0.248078266946191,0,0,0,0,0,0.183438155136268,0.0457721872816212,0,0,0.381201956673655,0,0,0,0,0,0,0,0,0,0,0,0.0310971348707198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00543-A","e00543","e00543",1,"A",2021,7,7,"58",-157.235,56.5777,"sample","20:57",0,0.161086423536623,0,0,0,0,0,0,0.0211078761875575,0,0,0,0,0.235902543671468,0,0,0,0,0,0.0762335274287465,0,3.83083052405762e-05,0,0.419590867300031,0,0,0,0,0,0.0324088262335274,0,0.0529420778424762,0,0,0,0,0,0,0,0.000689549494330371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00544-A","e00544","e00544",1,"A",2021,7,7,"58",-157.235,56.5777,"sample","20:57",0.00879507475813544,0.094547053649956,0,0,0.0136323658751099,0,0,0,0.0171503957783641,0.000879507475813544,0,0,0,0.240105540897098,0,0.00307827616534741,0,0,0.00263852242744063,0.0448548812664908,0,0,0,0.507915567282322,0,0.0101143359718558,0,0,0.000879507475813544,0,0,0.0426561125769569,0,0.00835532102022867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000879507475813544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351802990325418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00545-A","e00545","e00545",1,"A",2021,7,7,"59",-157.242,56.5811,"sample","21:33",0,0.0598548972188634,0,0,0,5.03829101168884e-05,0,0,0.121422813381701,0,0,0,0,0.1363361547763,0,0,0,0,0.0483675937122128,0,0,0,0,0.055068520757759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572198710197501,0,0,0,0,0,0,0,0,0,0,0,0.00670092704554615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
